"task","task_is","weight","hierarchy_belongs","source","Description"
"Flixster","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"MovieLens 10M","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"Million Song Dataset","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"YahooMusic","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"MovieLens 1M","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"MovieLens 100K","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"MovieLens 20M","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"Edge-to-Handbags","Image Reconstruction","1","Computer Vision","paperswithcode",""
"Edge-to-Shoes","Image Reconstruction","1","Computer Vision","paperswithcode",""
"MLDoc Zero-Shot English-to-Spanish","Cross-Lingual Document Classification","1","Natural Language Processing","paperswithcode",""
"MLDoc Zero-Shot English-to-German","Cross-Lingual Document Classification","1","Natural Language Processing","paperswithcode",""
"MLDoc Zero-Shot English-to-French","Cross-Lingual Document Classification","1","Natural Language Processing","paperswithcode",""
"COCO 2014","Cross-Modal Retrieval","1","Miscellaneous","paperswithcode",""
"20NEWS","Multi-Label Text Classification","1","Methodology","paperswithcode",""
"ACE 2005","Nested Mention Recognition","1","Natural Language Processing","paperswithcode",""
"ACE 2004","Nested Mention Recognition","1","Natural Language Processing","paperswithcode",""
"CIFAR-10 Image Classification","Architecture Search","1","Methodology","paperswithcode",""
"VisDA2017","Unsupervised Domain Adaptation","1","Methodology","paperswithcode",""
"Office-31","Unsupervised Domain Adaptation","1","Methodology","paperswithcode",""
"ImageCLEF-DA","Unsupervised Domain Adaptation","1","Methodology","paperswithcode",""
"SUBJ","Subjectivity Analysis","1","Natural Language Processing","paperswithcode","A related task to sentiment analysis is the subjectivity analysis with the goal of labeling an opinion as either subjective or objective."
"Oxf105k","Image Retrieval","1","Computer Vision","paperswithcode","Image retrieval systems aim to find similar images to a query image among an image dataset."
"Stanford Cars","Image Retrieval","1","Computer Vision","paperswithcode","Image retrieval systems aim to find similar images to a query image among an image dataset."
"Par6k","Image Retrieval","1","Computer Vision","paperswithcode","Image retrieval systems aim to find similar images to a query image among an image dataset."
"Par106k","Image Retrieval","1","Computer Vision","paperswithcode","Image retrieval systems aim to find similar images to a query image among an image dataset."
"Oxf5k","Image Retrieval","1","Computer Vision","paperswithcode","Image retrieval systems aim to find similar images to a query image among an image dataset."
"TREC Robust04","Ad-Hoc Information Retrieval","1","Natural Language Processing","paperswithcode",""
"SCUT-CTW1500","Curved Text Detection","1","Computer Vision","paperswithcode",""
"IC15","Scene Text Detection","1","Computer Vision","paperswithcode",""
"IC17-MLT","Scene Text Detection","1","Computer Vision","paperswithcode",""
"SARC (pol-unbal)","Sarcasm Detection","1","Natural Language Processing","paperswithcode",""
"SARC (pol-bal)","Sarcasm Detection","1","Natural Language Processing","paperswithcode",""
"SARC (all-bal)","Sarcasm Detection","1","Natural Language Processing","paperswithcode",""
"ACL-ARC","Citation Intent Classification","1","Natural Language Processing","paperswithcode",""
"SciCite","Citation Intent Classification","1","Natural Language Processing","paperswithcode",""
"SemEval 2018 Task 1E-c","Emotion Classification","1","Natural Language Processing","paperswithcode","Given a tweet, classify it as neutral or no emotion or as one, or more, of eleven given emotions that best represent the mental state of the tweeter."
