"method","source","description"
"Deep Speech + FSH","Deep Speech + FSH","Deep Speech: Scaling up end-to-end speech recognition"
"CNN + Bi-RNN + CTC (speech to letters), 25.9% WER if trainedonlyon SWB","CNN + Bi-RNN + CTC (speech to letters), 25.9% WER if trainedonlyon SWB","Deep Speech: Scaling up end-to-end speech recognition"
"DNN MMI","DNN MMI",""
"DNN MPE","DNN MPE",""
"DNN BMMI","DNN BMMI",""
"HMM-TDNN + pNorm + speed updown speech","HMM-TDNN + pNorm + speed updown speech",""
"DNN + Dropout","DNN + Dropout","Building DNN Acoustic Models for Large Vocabulary Speech Recognition"
"DNN","DNN","Building DNN Acoustic Models for Large Vocabulary Speech Recognition"
"CD-DNN","CD-DNN",""
"DNN-HMM","DNN-HMM",""
"LiGRU + Dropout + BatchNorm + Monophone Reg","LiGRU + Dropout + BatchNorm + Monophone Reg","The PyTorch-Kaldi Speech Recognition Toolkit"
"LSTM + Dropout + BatchNorm + Monophone Reg","LSTM + Dropout + BatchNorm + Monophone Reg","The PyTorch-Kaldi Speech Recognition Toolkit"
"Li-GRU + fMLLR features","Li-GRU + fMLLR features","Light Gated Recurrent Units for Speech Recognition"
"GRU + Dropout + BatchNorm + Monophone Reg","GRU + Dropout + BatchNorm + Monophone Reg","The PyTorch-Kaldi Speech Recognition Toolkit"
"RNN + Dropout + BatchNorm + Monophone Reg","RNN + Dropout + BatchNorm + Monophone Reg","The PyTorch-Kaldi Speech Recognition Toolkit"
"LSTM","LSTM","The PyTorch-Kaldi Speech Recognition Toolkit"
"Hierarchical maxout CNN + Dropout","Hierarchical maxout CNN + Dropout",""
"RNN","RNN","The PyTorch-Kaldi Speech Recognition Toolkit"
"GRU","GRU","The PyTorch-Kaldi Speech Recognition Toolkit"
"CNN in time and frequency + dropout, 17.6% wo dropout","CNN in time and frequency + dropout, 17.6% wo dropout",""
"Light Gated Recurrent Units","Light Gated Recurrent Units","Light Gated Recurrent Units for Speech Recognition"
"RNN-CRF on 24(x3) MFSC","RNN-CRF on 24(x3) MFSC","Segmental Recurrent Neural Networks for End-to-end Speech Recognition"
"Bi-RNN + Attention","Bi-RNN + Attention","Attention-Based Models for Speech Recognition"
"Bi-LSTM + skip connections w CTC","Bi-LSTM + skip connections w CTC","Speech Recognition with Deep Recurrent Neural Networks"
"QCNN-10L-256FM","QCNN-10L-256FM","Quaternion Convolutional Neural Networks for End-to-End Automatic Speech Recognition"
"Soft Monotonic Attention (ours, offline)","Soft Monotonic Attention (ours, offline)","Online and Linear-Time Attention by Enforcing Monotonic Alignments"
"(first, modern) HMM-DBN","(first, modern) HMM-DBN",""
"HMM-BLSTMtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD","HMM-BLSTMtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD",""
"HMM-TDNNtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD","HMM-TDNNtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD",""
"tdnn + chain","tdnn + chain","Purely sequence-trained neural networks for ASR based on lattice-free MMI"
"End-to-end LF-MMI","End-to-end LF-MMI","End-to-end speech recognition using lattice-free MMI"
"TC-DNN-BLSTM-DNN","TC-DNN-BLSTM-DNN","Deep Recurrent Neural Networks for Acoustic Modelling"
"test-set on open vocabulary (i.e. harder), model = HMM-DNN + pNorm*","test-set on open vocabulary (i.e. harder), model = HMM-DNN + pNorm*",""
"CNN over RAW speech (wav)","CNN over RAW speech (wav)",""
"VoiceFilter: bi-LSTM","VoiceFilter: bi-LSTM","VoiceFilter: Targeted Voice Separation by Speaker-Conditioned Spectrogram Masking"
"Seq-to-seq attention","Seq-to-seq attention","Improved training of end-to-end attention models for speech recognition"
"HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations","HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations",""
"Gated ConvNets","Gated ConvNets","Letter-Based Speech Recognition with Gated ConvNets"
"CTC + policy learning","CTC + policy learning","Improving End-to-End Speech Recognition with Policy Learning"
"chain + tdnn + rnnlm rescoring, https:github.comkaldi-asrkaldiblobmasteregslibrispeechs5localrnnlmtuningrun_tdnn_lstm_1a.sh","chain + tdnn + rnnlm rescoring, https:github.comkaldi-asrkaldiblobmasteregslibrispeechs5localrnnlmtuningrun_tdnn_lstm_1a.sh","Neural Network Language Modeling with Letter-based Features and Importance Sampling"
"Residual net + Pseudo Sketch Feature Loss + LSGAN","Residual net + Pseudo Sketch Feature Loss + LSGAN","Semi-Supervised Learning for Face Sketch Synthesis in the Wild"
"PS2-MAN","PS2-MAN","High-Quality Facial Photo-Sketch Synthesis Using Multi-Adversarial Networks"
"HP-net","HP-net","HydraPlus-Net: Attentive Deep Features for Pedestrian Analysis"
"MicronNet (fp16)","MicronNet (fp16)","MicronNet: A Highly Compact Deep Convolutional Neural Network Architecture for Real-time Embedded Traffic Sign Classification"
"Hierarchical + Background Threshold Model","Hierarchical + Background Threshold Model","A Hierarchical Deep Architecture and Mini-Batch Selection Method For Joint Traffic Sign and Light Detection"
"Hierarchical Model","Hierarchical Model","A Hierarchical Deep Architecture and Mini-Batch Selection Method For Joint Traffic Sign and Light Detection"
"Background Threshold Model","Background Threshold Model","A Hierarchical Deep Architecture and Mini-Batch Selection Method For Joint Traffic Sign and Light Detection"
"VPGNet","VPGNet","VPGNet: Vanishing Point Guided Network for Lane and Road Marking Detection and Recognition"
"Overfeat CNN detector + DBSCAN","Overfeat CNN detector + DBSCAN","An Empirical Evaluation of Deep Learning on Highway Driving"
"Spatial CNN","Spatial CNN","Spatial As Deep: Spatial CNN for Traffic Scene Understanding"
"Pairwise pixel supervision + FCN","Pairwise pixel supervision + FCN","Learning to Cluster for Proposal-Free Instance Segmentation"
"LaneNet","LaneNet","Towards End-to-End Lane Detection: an Instance Segmentation Approach"
"Discriminative loss function","Discriminative loss function","Semantic Instance Segmentation with a Discriminative Loss Function"
"SDS-RCNN","SDS-RCNN","Illuminating Pedestrians via Simultaneous Detection & Segmentation"
"F-DNN+SS","F-DNN+SS","Fused DNN: A deep neural network fusion approach to fast and robust pedestrian detection"
"SA-FastRCNN","SA-FastRCNN","Scale-aware Fast R-CNN for Pedestrian Detection"
"MS-CNN","MS-CNN","A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection"
"CompACT-Deep","CompACT-Deep","Learning Complexity-Aware Cascades for Deep Pedestrian Detection"
"Part-level CNN + saliency and bounding box alignment","Part-level CNN + saliency and bounding box alignment","Part-Level Convolutional Neural Networks for Pedestrian Detection Using Saliency and Boundary Box Alignment"
"Checkerboards+","Checkerboards+","Filtered Channel Features for Pedestrian Detection"
"TA-CNN","TA-CNN","Pedestrian Detection aided by Deep Learning Semantic Tasks"
"AlexNet","AlexNet","Taking a Deeper Look at Pedestrians"
"LDCF","LDCF","Local Decorrelation For Improved Pedestrian Detection"
"CNN features + Bayesian ridge regression","CNN features + Bayesian ridge regression","Transferring Rich Deep Features for Facial Beauty Prediction"
"Combined Features + Gaussian Reg","Combined Features + Gaussian Reg","SCUT-FBP5500: A Diverse Benchmark Dataset for Multi-Paradigm Facial Beauty Prediction"
"Multi-View","Multi-View","Multi-View Dynamic Facial Action Unit Detection"
"Baseline","Baseline","FERA 2017 - Addressing Head Pose in the Third Facial Expression Recognition and Analysis Challenge"
"GFA-CNN","GFA-CNN","Learning Generalizable and Identity-Discriminative Representations for Face Anti-Spoofing"
"Color LBP","Color LBP","face anti-spoofing based on color texture analysis"
"DLDL+VGG-Face","DLDL+VGG-Face","Deep Label Distribution Learning with Label Ambiguity"
"CMAAE-OR","CMAAE-OR","Facial Aging and Rejuvenation by Conditional Multi-Adversarial Autoencoder with Ordinal Regression"
"CORAL","CORAL","Consistent Rank Logits for Ordinal Regression with Convolutional Neural Networks"
"SAN GT","SAN GT","Style Aggregated Network for Facial Landmark Detection"
"Pose-Invariant","Pose-Invariant","Pose-Invariant Face Alignment with a Single CNN"
"FPN","FPN","FacePoseNet: Making a Case for Landmark-Free Face Alignment"
"SAN","SAN","Style Aggregated Network for Facial Landmark Detection"
"PRN","PRN","Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network"
"VRN-Guided","VRN-Guided","Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression"
"GANFit","GANFit","GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face Reconstruction"
"Unsupervised-3DMMR","Unsupervised-3DMMR","Unsupervised Training for 3D Morphable Model Regression"
"itwmm","itwmm","3D Face Morphable Models In-the-Wild"
"3DMM-CNN","3DMM-CNN","Regressing Robust and Discriminative 3D Morphable Models with a very Deep Neural Network"
"DeFA","DeFA","Dense Face Alignment"
"Deep Residual Equivariant Mapping","Deep Residual Equivariant Mapping","Pose-Robust Face Recognition via Deep Residual Equivariant Mapping"
"ArcFace + MS1MV2 + R100 + R","ArcFace + MS1MV2 + R100 + R","ArcFace: Additive Angular Margin Loss for Deep Face Recognition"
"CosFace","CosFace","CosFace: Large Margin Cosine Loss for Deep Face Recognition"
"SphereFace (3-patch ensemble)","SphereFace (3-patch ensemble)","SphereFace: Deep Hypersphere Embedding for Face Recognition"
"Light CNN-29","Light CNN-29","A Light CNN for Deep Face Representation with Noisy Labels"
"SphereFace (single model)","SphereFace (single model)","SphereFace: Deep Hypersphere Embedding for Face Recognition"
"FaceNet","FaceNet","FaceNet: A Unified Embedding for Face Recognition and Clustering"
"Deep CNN","Deep CNN","Deep Learning For Smile Recognition"
"Covariance Pooling","Covariance Pooling","Covariance Pooling For Facial Expression Recognition"
"Sequential forward selection","Sequential forward selection","Greedy Search for Descriptive Spatial Face Features"
"DeXpression","DeXpression","DeXpression: Deep Convolutional Neural Network for Expression Recognition"
"DAN-Menpo + bounding box diagonal normalization","DAN-Menpo + bounding box diagonal normalization","Deep Alignment Network: A convolutional neural network for robust face alignment"
"SIR-LAN","SIR-LAN","Facial Landmarks Detection by Self-Iterative Regression based Landmarks-Attention Network"
"DAN-Menpo + inter-ocular normalization","DAN-Menpo + inter-ocular normalization","Deep Alignment Network: A convolutional neural network for robust face alignment"
"LAB + Oracle + Inter-ocular Normalisation","LAB + Oracle + Inter-ocular Normalisation","Look at Boundary: A Boundary-Aware Face Alignment Algorithm"
"2DASL","2DASL","Joint 3D Face Reconstruction and Dense Face Alignment from A Single Image with 2D-Assisted Self-Supervised Learning"
"3DSTN","3DSTN","Faster Than Real-time Facial Alignment: A 3D Spatial Transformer Network Approach in Unconstrained Poses"
"3DDFA + SDM","3DDFA + SDM","Face Alignment Across Large Poses: A 3D Solution"
"FPN","FPN","Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network"
"Nonlinear 3D Face Morphable Model","Nonlinear 3D Face Morphable Model","Nonlinear 3D Face Morphable Model"
"MCL","MCL","Deep Multi-Center Learning for Face Alignment"
"DisguiseNet","DisguiseNet","DisguiseNet : A Contrastive Approach for Disguised Face Verification in the Wild"
"VGG-Face model features + cosine similarity metric","VGG-Face model features + cosine similarity metric","Recognizing Disguised Faces in the Wild"
"Dual-Agent GANs","Dual-Agent GANs","Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis"
"L2-constrained softmax loss","L2-constrained softmax loss","L2-constrained Softmax Loss for Discriminative Face Verification"
"NAN","NAN","Neural Aggregation Network for Video Face Recognition"
"Template adaptation","Template adaptation","Template Adaptation for Face Verification and Identification"
"All-in-one CNN","All-in-one CNN","An All-In-One Convolutional Neural Network for Face Analysis"
"Triplet probabilistic embedding","Triplet probabilistic embedding","Triplet Probabilistic Embedding for Face Verification and Clustering"
"Synthesis as data augmentation","Synthesis as data augmentation","Do We Really Need to Collect Millions of Faces for Effective Face Recognition?"
"DCNN","DCNN","Unconstrained Face Verification using Deep CNN Features"
"Deep multi-pose representations","Deep multi-pose representations","Face Recognition Using Deep Multi-Pose Representations"
"Deep CNN + COTS matcher","Deep CNN + COTS matcher","Face Search at Scale: 80 Million Gallery"
"AIM","AIM","Look Across Elapse: Disentangled Representation Learning and Photorealistic Cross-Age Face Synthesis for Age-Invariant Face Recognition"
"MN-vc","MN-vc","Multicolumn Networks for Face Recognition"
"SeqFace, 1 ResNet-64","SeqFace, 1 ResNet-64","SeqFace: Make full use of sequence information for face recognition"
"ArcFace + MS1MV2 + R100, ","ArcFace + MS1MV2 + R100, ","ArcFace: Additive Angular Margin Loss for Deep Face Recognition"
"QAN","QAN","Quality Aware Network for Set to Set Recognition"
"Git Loss","Git Loss","Git Loss for Deep Face Recognition"
"SphereFace","SphereFace","SphereFace: Deep Hypersphere Embedding for Face Recognition"
"DeepId2+","DeepId2+","Deeply learned face representations are sparse, selective, and robust"
"3DMM face shape parameters + CNN","3DMM face shape parameters + CNN","Regressing Robust and Discriminative 3D Morphable Models with a very Deep Neural Network"
"Ring loss","Ring loss","Ring loss: Convex Feature Normalization for Face Recognition"
"DeepId2","DeepId2","Deep Learning Face Representation by Joint Identification-Verification"
"SeqFace","SeqFace","SeqFace: Make full use of sequence information for face recognition"
"GaussianFace","GaussianFace","Surpassing Human-Level Face Verification Performance on LFW with GaussianFace"
"FAN","FAN","Face Attention Network: An Effective Face Detector for the Occluded Faces"
"AOFD","AOFD","Adversarial Occlusion-aware Face Detection"
"SRN","SRN","Selective Refinement Network for High Performance Face Detection"
"S3FD","S3FD","S$^3$FD: Single Shot Scale-invariant Face Detector"
"Anchor-based","Anchor-based","Robust Face Detection via Learning Small Faces on Hard Images"
"HyperFace-ResNet","HyperFace-ResNet","HyperFace: A Deep Multi-task Learning Framework for Face Detection, Landmark Localization, Pose Estimation, and Gender Recognition"
"LRN + RSA","LRN + RSA","Recurrent Scale Approximation for Object Detection in CNN"
"FaceBoxes","FaceBoxes","FaceBoxes: A CPU Real-time Face Detector with High Accuracy"
"STN","STN","Supervised Transformer Network for Efficient Face Detection"
"DPM","DPM","A Fast and Accurate Unconstrained Face Detector"
"Conv3D","Conv3D","Face Detection with End-to-End Integration of a ConvNet and a 3D Model"
"DSFD","DSFD","DSFD: Dual Shot Face Detector"
"PyramidBox","PyramidBox","PyramidBox: A Context-assisted Single Shot Face Detector"
"FDNet","FDNet","Face Detection Using Improved Faster RCNN"
"Face R-FCN","Face R-FCN","Detecting Faces Using Region-based Fully Convolutional Networks"
"Massively-large receptive fields","Massively-large receptive fields","Finding Tiny Faces"
"CMS-RCNN","CMS-RCNN","CMS-RCNN: Contextual Multi-Scale Region-based CNN for Unconstrained Face Detection"
"Multitask Cascade CNN","Multitask Cascade CNN","Joint Face Detection and Alignment using Multi-task Cascaded Convolutional Networks"
"LDCF+","LDCF+","To Boost or Not to Boost? On the Limits of Boosted Trees for Object Detection"
"Faceness-WIDER","Faceness-WIDER","WIDER FACE: A Face Detection Benchmark"
"Multiscale Cascade CNN","Multiscale Cascade CNN","WIDER FACE: A Face Detection Benchmark"
"ACF-WIDER","ACF-WIDER","Aggregate channel features for multi-view face detection"
"Two-stage CNN","Two-stage CNN","WIDER FACE: A Face Detection Benchmark"
"MSCNN","MSCNN","A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection"
"HyperFace","HyperFace","HyperFace: A Deep Multi-task Learning Framework for Face Detection, Landmark Localization, Pose Estimation, and Gender Recognition"
"AIM + CAFR","AIM + CAFR","Look Across Elapse: Disentangled Representation Learning and Photorealistic Cross-Age Face Synthesis for Age-Invariant Face Recognition"
"OE-CNN","OE-CNN","Orthogonal Deep Features Decomposition for Age-Invariant Face Recognition"
"Light CNN","Light CNN","A Light CNN for Deep Face Representation with Noisy Labels"
"DeepVisage","DeepVisage","DeepVisage: Making face recognition simple yet with powerful generalization skills"
"MFM-CNN","MFM-CNN","A Light CNN for Deep Face Representation with Noisy Labels"
"SE-GV-3","SE-GV-3","GhostVLAD for set-based face recognition"
"GhostVLAD, SE-GV-3","GhostVLAD, SE-GV-3","GhostVLAD for set-based face recognition"
"SRGAN + Residual-in-Residual Dense Block","SRGAN + Residual-in-Residual Dense Block","ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks"
"ProSR","ProSR","A Fully Progressive Approach to Single-Image Super-Resolution"
"RCAN","RCAN","Image Super-Resolution Using Very Deep Residual Channel Attention Networks"
"EDSR","EDSR","Enhanced Deep Residual Networks for Single Image Super-Resolution"
"RDN","RDN","Residual Dense Network for Image Super-Resolution"
"SRFBN","SRFBN","Feedback Network for Image Super-Resolution"
"Manifold Simplification","Manifold Simplification","Beyond Deep Residual Learning for Image Restoration: Persistent Homology-Guided Manifold Simplification"
"CARN","CARN","Fast, Accurate, and Lightweight Super-Resolution with Cascading Residual Network"
"SRRAM","SRRAM","RAM: Residual Attention Module for Single Image Super-Resolution"
"BSRN","BSRN","Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network"
"SRMDNF","SRMDNF","Learning a Single Convolutional Super-Resolution Network for Multiple Degradations"
"ENet-E","ENet-E","EnhanceNet: Single Image Super-Resolution Through Automated Texture Synthesis"
"RL-CSC","RL-CSC","Image Super-Resolution via RL-CSC: When Residual Learning Meets Convolutional Sparse Coding"
"MemNet","MemNet","MemNet: A Persistent Memory Network for Image Restoration"
"SESR","SESR","SESR: Single Image Super Resolution with Recursive Squeeze and Excitation Networks"
"IDN","IDN","Fast and Accurate Single Image Super-Resolution via Information Distillation Network"
"LapSRN","LapSRN","Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution"
"DnCNN-3","DnCNN-3","Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising"
"DSRN","DSRN","Image Super-Resolution via Dual-State Recurrent Networks"
"bicubic","bicubic","ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks"
"D-DBPN","D-DBPN","Deep Back-Projection Networks For Super-Resolution"
"PFF","PFF","Image Reconstruction with Predictive Filter Flow"
"SRResNet","SRResNet","Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network"
" LapSR"," LapSR","Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution"
"DRCN","DRCN","Deeply-Recursive Convolutional Network for Image Super-Resolution"
"ZSSR","ZSSR","Zero-Shot Super-Resolution using Deep Internal Learning"
"IA","IA","Seven ways to improve example-based single image super resolution"
"MSSRNet","MSSRNet","Single Image Super-Resolution with Dilated Convolution based Multi-Scale Information Learning Inception Module"
"TNRD","TNRD","Trainable Nonlinear Reaction Diffusion: A Flexible Framework for Fast and Effective Image Restoration"
"4PP-EUSR","4PP-EUSR","Deep Learning-based Image Super-Resolution Considering Quantitative and Perceptual Quality"
"SPMC","SPMC","Detail-revealing Deep Video Super-resolution"
"FAFR*","FAFR*","Image Super-resolution via Feature-augmented Random Forest"
"JMPF+","JMPF+","Joint Maximum Purity Forest with Application to Image Super-Resolution"
"Deep Mean-Shift Priors","Deep Mean-Shift Priors","Deep Mean-Shift Priors for Image Restoration"
"SFT-GAN","SFT-GAN","Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform"
"SRGAN","SRGAN","Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network"
"bicubic","bicubic","Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network"
"nearest neighbors","nearest neighbors","Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network"
"RED30","RED30","Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections"
"Perceptual Loss","Perceptual Loss","Perceptual Losses for Real-Time Style Transfer and Super-Resolution"
"FARF*","FARF*","Image Super-resolution via Feature-augmented Random Forest"
"FALSR-A ","FALSR-A ","Fast, Accurate and Lightweight Super-Resolution with Neural Architecture Search"
"Variational graph auto-encoders","Variational graph auto-encoders","Variational Graph Auto-Encoders"
"ComplEx-N3 (reciprocal)","ComplEx-N3 (reciprocal)","Canonical Tensor Decomposition for Knowledge Base Completion"
"ConvE","ConvE","Convolutional 2D Knowledge Graph Embeddings"
"M3GM","M3GM","Predicting Semantic Relations using Global Graph Properties"
"TuckER","TuckER","TuckER: Tensor Factorization for Knowledge Graph Completion"
"HypER","HypER","Hypernetwork Knowledge Graph Embeddings"
"M-Walk","M-Walk","M-Walk: Learning to Walk over Graphs using Monte Carlo Tree Search"
"SimplE","SimplE","SimplE Embedding for Link Prediction in Knowledge Graphs"
"Inverse Model","Inverse Model","Convolutional 2D Knowledge Graph Embeddings"
"ANALOGY","ANALOGY","Analogical Inference for Multi-Relational Embeddings"
"ComplEx","ComplEx","Complex Embeddings for Simple Link Prediction"
"DistMult","DistMult","Embedding Entities and Relations for Learning and Inference in Knowledge Bases"
"Gaifman","Gaifman","Discriminative Gaifman Models"
"SMT + NMT (tuning and joint refinement)","SMT + NMT (tuning and joint refinement)","An Effective Approach to Unsupervised Machine Translation"
"MLM pretraining for encoder and decoder","MLM pretraining for encoder and decoder","Cross-lingual Language Model Pretraining"
"SMT as posterior regularization","SMT as posterior regularization","Unsupervised Neural Machine Translation with SMT as Posterior Regularization"
"PBSMT + NMT","PBSMT + NMT","Phrase-Based & Neural Unsupervised Machine Translation"
"Synthetic bilingual data init","Synthetic bilingual data init","Unsupervised Neural Machine Translation Initialized by Unsupervised Statistical Machine Translation"
"PBSMT","PBSMT","Phrase-Based & Neural Unsupervised Machine Translation"
"SMT","SMT","Unsupervised Statistical Machine Translation"
"universal transformer base","universal transformer base","Universal Transformers"
"MLM pretraining","MLM pretraining","Cross-lingual Language Model Pretraining"
"Attentional encoder-decoder + BPE","Attentional encoder-decoder + BPE","Edinburgh Neural Machine Translation Systems for WMT 16"
"NAT +FT + NPD","NAT +FT + NPD","Non-Autoregressive Neural Machine Translation"
"Denoising autoencoders (non-autoregressive)","Denoising autoencoders (non-autoregressive)","Deterministic Non-Autoregressive Neural Sequence Modeling by Iterative Refinement"
"Seq-KD + Seq-Inter + Word-KD","Seq-KD + Seq-Inter + Word-KD","Sequence-Level Knowledge Distillation"
"C2-50k Segmentation","C2-50k Segmentation","Neural Machine Translation of Rare Words with Subword Units"
"Pervasive Attention","Pervasive Attention","Pervasive Attention: 2D Convolutional Neural Networks for Sequence-to-Sequence Prediction"
"Transformer with FRAGE","Transformer with FRAGE","FRAGE: Frequency-Agnostic Word Representation"
"Variational Attention","Variational Attention","Latent Alignment and Variational Attention"
"ConvS2S+Risk","ConvS2S+Risk","Classical Structured Prediction Losses for Sequence to Sequence Learning"
"ConvS2S (MLE+SLE)","ConvS2S (MLE+SLE)","Classical Structured Prediction Losses for Sequence to Sequence Learning"
"ConvS2S","ConvS2S","Convolutional Sequence to Sequence Learning"
"Conv-LSTM (deep+pos)","Conv-LSTM (deep+pos)","A Convolutional Encoder Model for Neural Machine Translation"
"NPMT + language model","NPMT + language model","Towards Neural Phrase-based Machine Translation"
"RNNsearch","RNNsearch","An Actor-Critic Algorithm for Sequence Prediction"
"DCCL","DCCL","Compressing Word Embeddings via Deep Compositional Code Learning"
"Bi-GRU (MLE+SLE)","Bi-GRU (MLE+SLE)","Neural Machine Translation by Jointly Learning to Align and Translate"
"Word-level CNN wattn, input feeding","Word-level CNN wattn, input feeding","Sequence-to-Sequence Learning as Beam-Search Optimization"
"Word-level LSTM wattn","Word-level LSTM wattn","Sequence Level Training with Recurrent Neural Networks"
"QRNN","QRNN","Quasi-Recurrent Neural Networks"
"SMT + iterative backtranslation (unsupervised)","SMT + iterative backtranslation (unsupervised)","Unsupervised Statistical Machine Translation"
"Linguistic Input Features","Linguistic Input Features","Linguistic Input Features Improve Neural Machine Translation"
"Unsupervised NMT + weight-sharing","Unsupervised NMT + weight-sharing","Unsupervised Neural Machine Translation with Weight Sharing"
"Unsupervised S2S with attention","Unsupervised S2S with attention","Unsupervised Machine Translation Using Monolingual Corpora Only"
"ByteNet","ByteNet","Neural Machine Translation in Linear Time"
"S2Tree+5gram NPLM","S2Tree+5gram NPLM",""
"Enc-Dec Att (char)","Enc-Dec Att (char)","A Character-Level Decoder without Explicit Segmentation for Neural Machine Translation"
"BPE word segmentation","BPE word segmentation","Neural Machine Translation of Rare Words with Subword Units"
"Enc-Dec Att (BPE)","Enc-Dec Att (BPE)","A Character-Level Decoder without Explicit Segmentation for Neural Machine Translation"
"Unsupervised attentional encoder-decoder + BPE","Unsupervised attentional encoder-decoder + BPE","Unsupervised Neural Machine Translation"
"DeepL","DeepL",""
"Transformer Big","Transformer Big","Scaling Neural Machine Translation"
"Evolved Transformer Big","Evolved Transformer Big","The Evolved Transformer"
"Transformer (big) + Relative Position Representations","Transformer (big) + Relative Position Representations","Self-Attention with Relative Position Representations"
"Transformer Big with FRAGE","Transformer Big with FRAGE","FRAGE: Frequency-Agnostic Word Representation"
"Weighted Transformer (large)","Weighted Transformer (large)","Weighted Transformer Network for Machine Translation"
"LightConv","LightConv","Pay Less Attention with Lightweight and Dynamic Convolutions"
"Evolved Transformer Base","Evolved Transformer Base","The Evolved Transformer"
"Transformer Big","Transformer Big","Attention Is All You Need"
"Transformer + SRU","Transformer + SRU","Simple Recurrent Units for Highly Parallelizable Recurrence"
"Transformer Base","Transformer Base","Attention Is All You Need"
"ConvS2S (ensemble)","ConvS2S (ensemble)","Convolutional Sequence to Sequence Learning"
"GNMT+RL","GNMT+RL","Googles Neural Machine Translation System: Bridging the Gap between Human and Machine Translation"
"SliceNet","SliceNet","Depthwise Separable Convolutions for Neural Machine Translation"
"MoE","MoE","Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer"
"Deep-Att","Deep-Att","Deep Recurrent Models with Fast-Forward Connections for Neural Machine Translation"
"PBMT","PBMT",""
"Unsupervised PBSMT","Unsupervised PBSMT","Phrase-Based & Neural Unsupervised Machine Translation"
"NSE-NSE","NSE-NSE","Neural Semantic Encoders"
"Unsupervised NMT + Transformer","Unsupervised NMT + Transformer","Phrase-Based & Neural Unsupervised Machine Translation"
"RNMT+","RNMT+","The Best of Both Worlds: Combining Recent Advances in Neural Machine Translation"
"ConvS2S BPE40k","ConvS2S BPE40k","Convolutional Sequence to Sequence Learning"
"GRU BPE90k","GRU BPE90k","The QT21HimL Combined Machine Translation System"
"BiGRU","BiGRU","Edinburgh Neural Machine Translation Systems for WMT 16"
"Deep Convolutional Encoder; single-layer decoder","Deep Convolutional Encoder; single-layer decoder","A Convolutional Encoder Model for Neural Machine Translation"
"BiLSTM","BiLSTM","A Convolutional Encoder Model for Neural Machine Translation"
"Transformer Big + BT","Transformer Big + BT","Understanding Back-Translation at Scale"
"Deep-Att + PosUnk","Deep-Att + PosUnk","Deep Recurrent Models with Fast-Forward Connections for Neural Machine Translation"
"LSTM6 + PosUnk","LSTM6 + PosUnk","Addressing the Rare Word Problem in Neural Machine Translation"
"SMT+LSTM5","SMT+LSTM5","Sequence to Sequence Learning with Neural Networks"
"RNN-search50*","RNN-search50*","Neural Machine Translation by Jointly Learning to Align and Translate"
"LSTM","LSTM","Sequence to Sequence Learning with Neural Networks"
"CSLM + RNN + WP","CSLM + RNN + WP","Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation"
"Regularized LSTM","Regularized LSTM","Recurrent Neural Network Regularization"
"GRU+Attention","GRU+Attention","Can Active Memory Replace Attention?"
"Support Vector Machines","Support Vector Machines","Inferring hybrid transportation modes from sparse GPS data using a moving window SVM classification"
"TF-KLD","TF-KLD",""
"Oracle IR Models","Oracle IR Models","The NarrativeQA Reading Comprehension Challenge"
